id_client,segment,commune,code_postal,date_entree,nb_personnes_foyer,surface_m2
CLI-00162,collectivite,Zone-Industrielle,69120,2022-06-20,,528
CLI-00163,particulier,Parc-Tertiaire,69150,2019-02-16,2,68
CLI-00164,particulier,Centre-Ville,69001,2011-05-07,4,144
CLI-00165,particulier,Centre-Ville,69001,2024-08-26,2,53
CLI-00166,entreprise,Zone-Industrielle,69120,2019-08-28,,985
CLI-00167,petit_pro,Val-Nord,69210,2023-01-11,,63
CLI-00168,particulier,Coteaux-Ouest,69340,2018-11-16,5,133
CLI-00169,collectivite,Centre-Ville,69001,2009-02-22,,2276
CLI-00170,particulier,Val-Nord,69210,2011-02-20,1,96
CLI-00171,particulier,Parc-Tertiaire,69150,2016-10-23,3,50
CLI-00172,entreprise,Parc-Tertiaire,69150,2014-04-16,,95
CLI-00173,petit_pro,Centre-Ville,69001,2013-07-13,,733
CLI-00174,particulier,Val-Nord,69210,2017-10-24,4,144
CLI-00175,collectivite,Centre-Ville,69001,2023-12-26,,1519
CLI-00176,entreprise,Parc-Tertiaire,69150,2014-04-20,,263
CLI-00177,petit_pro,Rives-Sud,69230,2009-03-26,,330
CLI-00178,petit_pro,Parc-Tertiaire,69150,2018-04-15,,582
CLI-00179,collectivite,Zone-Industrielle,69120,2014-06-14,,4055
CLI-00180,entreprise,Centre-Ville,69001,2012-12-13,,572
CLI-00181,petit_pro,Centre-Ville,69001,2017-02-05,,515
CLI-00182,particulier,Val-Nord,69210,2018-11-09,5,80
CLI-00183,particulier,Rives-Sud,69230,2009-09-17,5,60
CLI-00184,particulier,Plateau-Est,69310,2012-05-01,3,71
CLI-00185,particulier,Rives-Sud,69230,2021-10-25,2,51
CLI-00186,particulier,Rives-Sud,69230,2022-06-02,2,153
CLI-00187,entreprise,Rives-Sud,69230,2023-09-10,,325
CLI-00188,collectivite,Bourg-Ancien,69270,2014-01-19,,3354
CLI-00189,particulier,Centre-Ville,69001,2018-03-06,3,90
CLI-00190,particulier,Rives-Sud,69230,2017-10-17,1,44
CLI-00191,particulier,Coteaux-Ouest,69340,2014-04-28,3,146
CLI-00192,particulier,Centre-Ville,69001,2022-06-08,3,128
CLI-00193,particulier,Centre-Ville,69001,2019-02-27,2,58
CLI-00194,entreprise,Rives-Sud,69230,2024-05-26,,679
CLI-00195,particulier,Plateau-Est,69310,2013-01-13,1,79
CLI-00196,particulier,Rives-Sud,69230,2013-07-02,3,124
CLI-00197,entreprise,Rives-Sud,69230,2010-02-10,,416
CLI-00198,petit_pro,Zone-Industrielle,69120,2012-01-15,,271
CLI-00199,entreprise,Parc-Tertiaire,69150,2010-03-22,,3018
CLI-00200,particulier,Val-Nord,69210,2009-09-07,5,95
CLI-00201,petit_pro,Parc-Tertiaire,69150,2022-01-21,,511
CLI-00202,particulier,Rives-Sud,69230,2012-07-21,2,112
CLI-00203,entreprise,Parc-Tertiaire,69150,2009-12-28,,196
CLI-00204,particulier,Plateau-Est,69310,2024-12-27,3,96
CLI-00205,particulier,Rives-Sud,69230,2020-11-24,1,103
CLI-00206,particulier,Val-Nord,69210,2017-11-03,3,30
CLI-00207,particulier,Bourg-Ancien,69270,2011-02-18,2,81
CLI-00208,petit_pro,Rives-Sud,69230,2023-08-12,,337
CLI-00209,collectivite,Zone-Industrielle,69120,2024-12-15,,4474
CLI-00210,particulier,Val-Nord,69210,2009-08-20,5,51
CLI-00211,petit_pro,Centre-Ville,69001,2009-10-20,,276
CLI-00212,entreprise,Centre-Ville,69001,2017-12-28,,629
CLI-00213,particulier,Plateau-Est,69310,2015-05-05,1,155
CLI-00214,entreprise,Zone-Industrielle,69120,2022-12-09,,501
CLI-00215,particulier,Val-Nord,69210,2024-04-14,3,34
CLI-00216,particulier,Centre-Ville,69001,2021-08-04,5,63
CLI-00217,entreprise,Centre-Ville,69001,2013-05-15,,4019
CLI-00218,entreprise,Rives-Sud,69230,2016-05-07,,4823
CLI-00219,petit_pro,Parc-Tertiaire,69150,2017-12-20,,275
CLI-00220,particulier,Plateau-Est,69310,2019-08-15,5,100
CLI-00221,entreprise,Zone-Industrielle,69120,2016-06-09,,1729
CLI-00222,particulier,Centre-Ville,69001,2018-04-04,1,30
CLI-00223,particulier,Val-Nord,69210,2016-12-19,2,140
CLI-00224,particulier,Coteaux-Ouest,69340,2010-09-21,3,88
CLI-00225,entreprise,Zone-Industrielle,69120,2012-04-18,,648
CLI-00226,particulier,Coteaux-Ouest,69340,2014-04-19,5,37
CLI-00227,particulier,Bourg-Ancien,69270,2013-09-06,1,117
CLI-00228,entreprise,Coteaux-Ouest,69340,2021-02-24,,469
CLI-00229,petit_pro,Bourg-Ancien,69270,2012-03-23,,544
CLI-00230,particulier,Centre-Ville,69001,2018-10-11,5,57
CLI-00231,particulier,Centre-Ville,69001,2015-06-14,5,90
CLI-00232,particulier,Val-Nord,69210,2024-10-07,1,109
CLI-00233,petit_pro,Bourg-Ancien,69270,2024-10-18,,791
CLI-00234,particulier,Val-Nord,69210,2023-12-20,4,35
CLI-00235,petit_pro,Val-Nord,69210,2022-12-14,,683
CLI-00236,petit_pro,Coteaux-Ouest,69340,2019-03-12,,641
CLI-00237,particulier,Centre-Ville,69001,2010-11-02,1,96
CLI-00238,particulier,Plateau-Est,69310,2012-11-07,1,85
CLI-00239,entreprise,Parc-Tertiaire,69150,2017-02-16,,702
CLI-00240,collectivite,Rives-Sud,69230,2015-06-14,,1553
CLI-00241,entreprise,Zone-Industrielle,69120,2018-01-02,,194
CLI-00242,entreprise,Bourg-Ancien,69270,2015-10-23,,4214
CLI-00243,entreprise,Zone-Industrielle,69120,2024-01-09,,1199
CLI-00244,petit_pro,Centre-Ville,69001,2016-07-28,,603
CLI-00245,particulier,Val-Nord,69210,2010-04-20,4,149
CLI-00246,particulier,Plateau-Est,69310,2021-03-28,1,39
CLI-00247,petit_pro,Val-Nord,69210,2010-08-02,,223
CLI-00248,entreprise,Rives-Sud,69230,2018-06-25,,712
CLI-00249,entreprise,Zone-Industrielle,69120,2014-04-17,,4000
CLI-00250,entreprise,Plateau-Est,69310,2024-08-01,,482
CLI-00251,particulier,Plateau-Est,69310,2020-12-09,4,58
CLI-00252,particulier,Bourg-Ancien,69270,2021-11-19,2,85
CLI-00253,particulier,Plateau-Est,69310,2013-01-24,1,70
CLI-00254,particulier,Coteaux-Ouest,69340,2015-08-22,4,102
CLI-00255,particulier,Bourg-Ancien,69270,2023-01-20,1,51
CLI-00256,particulier,Coteaux-Ouest,69340,2012-11-17,5,97
CLI-00257,entreprise,Rives-Sud,69230,2015-07-07,,2764
CLI-00258,particulier,Rives-Sud,69230,2012-09-14,2,77
CLI-00259,entreprise,Parc-Tertiaire,69150,2012-06-04,,501
CLI-00260,particulier,Rives-Sud,69230,2015-04-10,5,103
CLI-00261,particulier,Coteaux-Ouest,69340,2020-11-21,5,51
CLI-00262,entreprise,Parc-Tertiaire,69150,2017-05-02,,309
CLI-00263,entreprise,Parc-Tertiaire,69150,2013-08-20,,451
CLI-00264,particulier,Coteaux-Ouest,69340,2012-08-11,1,34
CLI-00265,particulier,Rives-Sud,69230,2013-07-16,5,74
CLI-00266,particulier,Val-Nord,69210,2024-10-01,5,61
CLI-00267,particulier,Coteaux-Ouest,69340,2019-03-27,2,95
CLI-00268,entreprise,Parc-Tertiaire,69150,2017-05-24,,4827
CLI-00269,particulier,Plateau-Est,69310,2010-02-03,3,86
CLI-00270,petit_pro,Centre-Ville,69001,2023-07-28,,144
CLI-00271,particulier,Rives-Sud,69230,2010-07-20,3,137
CLI-00272,particulier,Parc-Tertiaire,69150,2017-06-06,4,141
CLI-00273,particulier,Val-Nord,69210,2010-02-16,5,77
CLI-00274,petit_pro,Parc-Tertiaire,69150,2011-07-22,,193
CLI-00275,particulier,Coteaux-Ouest,69340,2015-04-13,5,28
CLI-00276,particulier,Plateau-Est,69310,2024-01-24,2,148
CLI-00277,particulier,Bourg-Ancien,69270,2013-05-28,5,149
CLI-00278,particulier,Centre-Ville,69001,2015-04-22,2,67
CLI-00279,collectivite,Centre-Ville,69001,2014-12-19,,2336
CLI-00280,particulier,Coteaux-Ouest,69340,2011-09-09,4,120
CLI-00281,particulier,Coteaux-Ouest,69340,2009-03-24,2,104
CLI-00282,petit_pro,Zone-Industrielle,69120,2011-07-03,,556
CLI-00283,entreprise,Zone-Industrielle,69120,2014-09-07,,954
CLI-00284,particulier,Rives-Sud,69230,2012-11-17,5,44
CLI-00285,particulier,Rives-Sud,69230,2022-03-18,1,52
CLI-00286,collectivite,Zone-Industrielle,69120,2018-11-22,,2579
CLI-00287,particulier,Rives-Sud,69230,2020-12-28,3,160
CLI-00288,particulier,Rives-Sud,69230,2015-08-07,1,34
CLI-00289,entreprise,Zone-Industrielle,69120,2011-09-26,,416
CLI-00290,entreprise,Rives-Sud,69230,2010-10-16,,816
CLI-00291,petit_pro,Parc-Tertiaire,69150,2016-03-14,,466
CLI-00292,particulier,Plateau-Est,69310,2017-01-19,2,107
CLI-00293,particulier,Val-Nord,69210,2021-07-18,4,112
CLI-00294,entreprise,Zone-Industrielle,69120,2015-05-14,,2986
CLI-00295,particulier,Val-Nord,69210,2019-02-03,5,131
CLI-00296,particulier,Centre-Ville,69001,2018-08-08,2,58
CLI-00297,particulier,Plateau-Est,69310,2019-12-07,1,59
CLI-00298,particulier,Rives-Sud,69230,2020-11-07,4,47
CLI-00299,petit_pro,Parc-Tertiaire,69150,2013-09-07,,223
CLI-00300,particulier,Plateau-Est,69310,2012-06-05,4,57
CLI-00301,particulier,Centre-Ville,69001,2014-10-08,4,126
CLI-00302,particulier,Bourg-Ancien,69270,2015-03-11,3,107
CLI-00303,entreprise,Rives-Sud,69230,2022-10-25,,166
CLI-00304,particulier,Val-Nord,69210,2024-03-05,5,103
CLI-00305,entreprise,Zone-Industrielle,69120,2013-07-05,,2478
CLI-00306,particulier,Rives-Sud,69230,2018-06-04,2,38
CLI-00307,petit_pro,Parc-Tertiaire,69150,2024-08-08,,865
CLI-00308,particulier,Plateau-Est,69310,2019-12-24,5,141
CLI-00309,entreprise,Centre-Ville,69001,2022-07-19,,440
CLI-00310,particulier,Centre-Ville,69001,2015-10-20,5,109
CLI-00311,petit_pro,Rives-Sud,69230,2021-02-27,,364
CLI-00312,entreprise,Parc-Tertiaire,69150,2021-10-28,,297
CLI-00313,particulier,Bourg-Ancien,69270,2014-12-15,1,36
CLI-00314,entreprise,Rives-Sud,69230,2021-05-04,,132
CLI-00315,particulier,Centre-Ville,69001,2014-06-15,5,102
CLI-00316,petit_pro,Zone-Industrielle,69120,2017-10-19,,98
CLI-00317,entreprise,Coteaux-Ouest,69340,2009-01-05,,488
CLI-00318,particulier,Coteaux-Ouest,69340,2018-11-24,1,127
CLI-00319,particulier,Centre-Ville,69001,2011-02-11,3,109
CLI-00320,particulier,Coteaux-Ouest,69340,2016-12-22,2,72
CLI-00321,entreprise,Centre-Ville,69001,2018-10-02,,68
CLI-00322,particulier,Val-Nord,69210,2022-05-27,2,131
CLI-00323,petit_pro,Parc-Tertiaire,69150,2011-10-27,,845
CLI-00324,petit_pro,Val-Nord,69210,2020-04-16,,133
CLI-00325,particulier,Val-Nord,69210,2019-06-05,4,66
CLI-00326,entreprise,Centre-Ville,69001,2012-01-01,,812
CLI-00327,particulier,Val-Nord,69210,2021-03-01,1,64
CLI-00328,particulier,Coteaux-Ouest,69340,2023-10-08,3,81
CLI-00329,particulier,Rives-Sud,69230,2009-08-21,2,115
CLI-00330,particulier,Rives-Sud,69230,2024-05-04,3,46
CLI-00331,particulier,Centre-Ville,69001,2023-04-18,1,115
CLI-00332,particulier,Coteaux-Ouest,69340,2022-06-01,2,102
CLI-00333,petit_pro,Centre-Ville,69001,2021-02-06,,872
CLI-00334,particulier,Coteaux-Ouest,69340,2009-04-18,3,81
CLI-00335,particulier,Val-Nord,69210,2014-05-26,4,113
CLI-00336,particulier,Plateau-Est,69310,2017-03-14,1,56
CLI-00337,entreprise,Centre-Ville,69001,2013-12-23,,609
CLI-00338,particulier,Plateau-Est,69310,2014-03-01,1,128
CLI-00339,particulier,Plateau-Est,69310,2010-11-04,2,146
CLI-00340,particulier,Rives-Sud,69230,2009-11-08,3,116
CLI-00341,particulier,Plateau-Est,69310,2014-07-09,3,110
CLI-00342,particulier,Centre-Ville,69001,2018-03-03,1,73
CLI-00343,particulier,Bourg-Ancien,69270,2017-06-27,1,51
CLI-00344,particulier,Coteaux-Ouest,69340,2023-01-08,5,65
CLI-00345,petit_pro,Bourg-Ancien,69270,2014-12-23,,772
CLI-00346,particulier,Rives-Sud,69230,2009-04-24,1,69
CLI-00347,petit_pro,Centre-Ville,69001,2015-03-06,,701
CLI-00348,petit_pro,Plateau-Est,69310,2011-09-04,,305
CLI-00349,petit_pro,Val-Nord,69210,2013-01-19,,158
CLI-00350,particulier,Bourg-Ancien,69270,2020-05-04,5,38
CLI-00351,particulier,Parc-Tertiaire,69150,2018-02-12,5,35
CLI-00352,particulier,Plateau-Est,69310,2012-10-16,2,65
CLI-00353,entreprise,Zone-Industrielle,69120,2018-09-27,,582
CLI-00354,particulier,Centre-Ville,69001,2010-07-17,1,54
CLI-00355,entreprise,Parc-Tertiaire,69150,2020-04-18,,285
CLI-00356,particulier,Val-Nord,69210,2009-08-01,1,54
CLI-00357,petit_pro,Centre-Ville,69001,2024-11-03,,241
CLI-00358,particulier,Bourg-Ancien,69270,2012-05-15,3,152
CLI-00359,petit_pro,Zone-Industrielle,69120,2020-04-23,,85
CLI-00360,entreprise,Parc-Tertiaire,69150,2021-06-02,,787
CLI-00361,particulier,Bourg-Ancien,69270,2012-01-12,1,40
CLI-00362,entreprise,Centre-Ville,69001,2019-10-22,,159
CLI-00363,particulier,Centre-Ville,69001,2013-12-27,1,74
CLI-00364,particulier,Coteaux-Ouest,69340,2024-01-12,1,53
CLI-00365,particulier,Bourg-Ancien,69270,2024-01-18,5,145
CLI-00366,particulier,Coteaux-Ouest,69340,2017-07-17,1,145
CLI-00367,particulier,Val-Nord,69210,2014-12-17,4,61
CLI-00368,petit_pro,Val-Nord,69210,2015-08-16,,81
CLI-00369,particulier,Coteaux-Ouest,69340,2010-11-08,1,111
CLI-00370,particulier,Bourg-Ancien,69270,2019-10-24,5,105
CLI-00371,particulier,Bourg-Ancien,69270,2018-11-25,5,108
CLI-00372,particulier,Centre-Ville,69001,2023-08-06,4,51
CLI-00373,petit_pro,Bourg-Ancien,69270,2012-01-17,,895
CLI-00374,entreprise,Parc-Tertiaire,69150,2010-11-18,,605
CLI-00375,particulier,Plateau-Est,69310,2023-08-17,2,61
CLI-00376,particulier,Parc-Tertiaire,69150,2018-11-21,5,133
CLI-00377,petit_pro,Bourg-Ancien,69270,2016-02-16,,897
CLI-00378,particulier,Val-Nord,69210,2012-09-09,1,82
CLI-00379,petit_pro,Val-Nord,69210,2024-08-27,,140
CLI-00380,particulier,Coteaux-Ouest,69340,2024-04-20,2,104
CLI-00381,particulier,Bourg-Ancien,69270,2024-04-22,1,39
CLI-00382,particulier,Rives-Sud,69230,2014-09-01,2,117
CLI-00383,entreprise,Zone-Industrielle,69120,2016-11-03,,874
CLI-00384,particulier,Rives-Sud,69230,2023-12-14,2,33
CLI-00385,particulier,Bourg-Ancien,69270,2012-05-18,4,42
CLI-00386,particulier,Coteaux-Ouest,69340,2016-01-27,5,72
CLI-00387,particulier,Rives-Sud,69230,2017-11-15,4,92
CLI-00388,particulier,Centre-Ville,69001,2009-10-16,3,30
CLI-00389,petit_pro,Bourg-Ancien,69270,2018-10-01,,514
CLI-00390,particulier,Centre-Ville,69001,2019-03-23,5,106
CLI-00391,petit_pro,Rives-Sud,69230,2010-01-13,,127
CLI-00392,particulier,Rives-Sud,69230,2022-09-11,3,48
CLI-00393,petit_pro,Rives-Sud,69230,2009-05-05,,543
CLI-00394,petit_pro,Rives-Sud,69230,2010-01-03,,193
CLI-00395,particulier,Coteaux-Ouest,69340,2013-09-21,1,57
CLI-00396,particulier,Plateau-Est,69310,2009-01-20,5,69
CLI-00397,particulier,Val-Nord,69210,2011-12-20,1,116
CLI-00398,entreprise,Rives-Sud,69230,2018-08-09,,238
CLI-00399,particulier,Rives-Sud,69230,2010-10-06,5,128
CLI-00400,particulier,Plateau-Est,69310,2014-03-19,1,126
CLI-00401,collectivite,Centre-Ville,69001,2014-10-18,,2889
CLI-00402,particulier,Centre-Ville,69001,2024-05-05,1,61
CLI-00403,particulier,Val-Nord,69210,2011-10-12,4,115
CLI-00404,particulier,Val-Nord,69210,2024-09-09,5,57
CLI-00405,petit_pro,Zone-Industrielle,69120,2023-04-10,,106
CLI-00406,particulier,Val-Nord,69210,2023-04-13,4,68
